cycles,time,current,voltage,temp,index,soc,soh
2,0,0,2.02162,32.1378,1,0,0
2,0.0025,0.265208,2.03402,32.1378,2,0,0
2,0.00298,0.485448,2.04976,32.1378,3,0,0
2,0.00345667,0.754988,2.0767,32.1378,4,0,0
2,0.00370333,0.863439,2.08924,32.1378,5,0,0
2,0.00393833,0.971551,2.103,32.1378,6,0,0
2,0.00415333,1.07909,2.11771,32.1378,7,0.00,100
2,0.00441667,1.24024,2.14141,32.1378,8,0.00,100
2,0.00466167,1.34915,2.15791,32.1378,9,0.00,100
2,0.00490833,1.4579,2.17508,32.1378,10,0.00,100
2,0.00513667,1.61999,2.20219,32.1378,11,0.00,100
2,0.00538833,1.72753,2.2209,32.1378,12,0.00,100
2,0.00561833,1.83543,2.23984,32.1378,13,0.00,100
2,0.005865,1.94227,2.25908,32.1378,14,0.00,100
2,0.00609667,2.1059,2.28863,32.1378,15,0.00,100
2,0.00631,2.21367,2.3083,32.1378,16,0.00,100
2,0.00656333,2.32185,2.32814,32.1378,17,0.00,100
2,0.00679167,2.42899,2.3481,32.1378,18,0.01,100
2,0.00704167,2.53804,2.36824,32.1378,19,0.12,100
2,0.00727167,2.70145,2.39834,32.1378,20,0.22,100
2,0.00751833,2.80725,2.41806,32.1378,21,0.35,100
2,0.00774833,2.91653,2.4378,32.1378,22,0.39,100
2,0.00802833,3.02337,2.45714,32.1378,23,0.42,100
2,0.00825667,3.1851,2.4856,32.1378,24,0.46,100
2,0.00850667,3.29322,2.50383,32.1378,25,0.49,100
2,0.00872333,3.40357,2.52142,32.1378,26,0.41,100
2,0.00895333,3.51097,2.53832,32.1378,27,0.07,100
2,0.00920333,3.61906,2.55435,32.1378,28,0.56,100
2,0.00943,3.78094,2.57667,32.1378,29,0.72,100
2,0.009675,3.88941,2.59046,32.1378,30,0.85,100
2,0.009895,3.99746,2.60323,32.1378,31,0.93,100
2,0.0101267,4.10491,2.61535,32.1378,32,0.98,100
2,0.01034,4.21343,2.62645,32.1378,33,1.03,100
2,0.01059,4.32155,2.63684,32.1378,34,0.84,100
2,0.0110183,4.53824,2.65578,32.1378,35,0.64,100
2,0.0112433,4.70061,2.66864,32.1378,36,0.22,100
2,0.011735,4.91672,2.68436,32.1378,37,0.00,100
2,0.0121633,5.13286,2.69861,32.1378,38,0.00,100
2,0.01239,5.29518,2.70873,32.1378,39,0.00,100
2,0.01303,5.34915,2.7197,32.1469,40,0.00,100
2,0.01431,5.35073,2.73125,32.1469,41,0.00,100
2,0.0160983,5.35022,2.7419,32.1469,42,0.00,100
2,0.018245,5.34955,2.75313,32.1469,43,0.00,100
2,0.02036,5.4034,2.764,32.1469,44,0.00,100
2,0.02293,5.40509,2.77468,32.1469,45,0.00,100
2,0.025685,5.4048,2.78552,32.1469,46,0.00,100
2,0.0284733,5.40357,2.79564,32.1469,47,0.00,100
2,0.0314367,5.40315,2.80607,32.1469,48,0.00,100
2,0.034435,5.40262,2.81611,32.1469,49,0.00,100
2,0.037605,5.40395,2.82612,32.1469,50,0.00,100
2,0.041025,5.40347,2.83656,32.1469,51,0.00,100
2,0.0446317,5.40314,2.84693,32.1469,52,0.00,100
2,0.0482583,5.40294,2.85701,32.1469,53,0.00,100
2,0.05212,5.40222,2.86715,32.1469,54,0.00,100
2,0.05615,5.40305,2.87757,32.1469,55,0.00,100
2,0.0604317,5.40336,2.88776,32.1155,56,0.00,100
2,0.06491,5.40309,2.89802,32.1155,57,0.00,100
2,0.0696517,5.40345,2.9083,32.1155,58,0.00,100
2,0.07452,5.40304,2.9185,32.1155,59,0.00,100
2,0.079665,5.40157,2.9289,32.1155,60,0.09,100
2,0.0849617,5.40143,2.93917,32.1155,61,0.18,100
2,0.0904967,5.40203,2.94924,32.1155,62,0.27,100
2,0.0962667,5.40349,2.95955,32.1155,63,0.35,100
2,0.102217,5.40198,2.96974,32.1155,64,0.44,100
2,0.108617,5.40151,2.97987,32.1155,65,0.53,100
2,0.108618,5.40151,2.97987,32.141,66,0.62,100
2,0.115007,5.40235,2.99016,32.141,67,0.64,100
2,0.12181,5.40145,3.00046,32.141,68,0.72,100
2,0.128818,5.40234,3.01059,32.141,69,0.82,100
2,0.136048,5.40141,3.02086,32.141,70,0.91,100
2,0.143527,5.40086,3.03086,32.141,71,1.00,100
2,0.151393,5.40071,3.04116,32.141,72,1.09,100
2,0.159688,5.40003,3.05121,32.1035,73,1.18,100
2,0.168008,5.40133,3.0614,32.1035,74,1.26,100
2,0.177007,5.40071,3.07157,32.1035,75,1.35,100
2,0.186195,5.4004,3.0817,32.1035,76,1.44,100
2,0.195763,5.4,3.09173,32.1035,77,1.53,100
2,0.205723,5.39887,3.10211,32.1035,78,1.62,100
2,0.205725,5.39887,3.10211,32.0712,79,1.71,100
2,0.216162,5.3996,3.11218,32.0712,80,1.69,100
2,0.227028,5.39988,3.12251,32.0712,81,1.77,100
2,0.238343,5.40062,3.13263,32.0712,82,1.86,100
2,0.25005,5.3996,3.14282,32.041,83,1.95,100
2,0.26242,5.39993,3.15297,32.041,84,2.02,100
2,0.27481,5.39996,3.16297,32.041,85,2.11,100
2,0.288112,5.40096,3.17302,32.041,86,2.20,100
2,0.30177,5.39914,3.18331,32.0412,87,2.28,100
2,0.316092,5.40003,3.19334,32.0412,88,2.38,100
2,0.33085,5.40027,3.20344,32.0412,89,2.47,100
2,0.346078,5.40079,3.21347,32.0433,90,2.56,100
2,0.362557,5.40141,3.22366,32.0433,91,2.66,100
2,0.379475,5.40086,3.23367,32.0433,92,2.75,100
2,0.39725,5.40061,3.24379,32.0433,93,2.85,100
2,0.397252,5.40061,3.24379,31.994,94,2.95,100
2,0.415722,5.40035,3.2539,31.994,95,2.92,100
2,0.435015,5.4001,3.26413,31.994,96,3.02,100
2,0.455363,5.40134,3.2742,32.0161,97,3.12,100
2,0.476613,5.3997,3.28439,32.0161,98,3.23,100
2,0.498998,5.40078,3.29447,32.0161,99,3.34,100
2,0.499,5.40078,3.29447,31.9959,100,3.44,100
2,0.522218,5.39976,3.30455,31.9959,101,3.43,100
2,0.546725,5.40047,3.31473,31.9698,102,3.57,100
2,0.572588,5.40022,3.32477,31.9698,103,3.99,100
2,0.599952,5.39999,3.33478,31.9718,104,4.44,100
2,0.629247,5.39897,3.34482,31.9718,105,4.89,100
2,0.629248,5.39897,3.34482,31.9636,106,5.36,100
2,0.661768,5.39873,3.355,31.9636,107,5.36,100
2,0.698662,5.40023,3.36512,31.9718,108,5.85,100
2,0.742708,5.40064,3.37519,31.9423,109,6.38,100
2,0.797853,5.40071,3.38525,31.9423,110,6.95,100
2,0.797855,5.40071,3.38525,31.9033,111,7.61,100
2,0.870693,5.39999,3.39541,31.9202,112,7.60,100
2,0.954205,5.40004,3.40423,31.9202,113,8.41,100
2,0.954207,5.40004,3.40423,31.8991,114,9.26,100
2,1.03769,5.40004,3.41148,31.9565,115,9.26,100
2,1.12121,5.40098,3.41776,32.0132,116,10.09,100
2,1.20473,5.40072,3.42329,32.0132,117,10.89,100
2,1.20473,5.40072,3.42329,31.9505,118,11.66,100
2,1.28826,5.40135,3.42817,31.9505,119,11.64,100
2,1.28826,5.40135,3.42817,31.9837,120,12.40,100
2,1.37173,5.40072,3.43292,32.03,121,12.41,100
2,1.45521,5.4005,3.4375,32.03,122,13.17,100
2,1.45521,5.4005,3.4375,32.0579,123,13.92,100
2,1.53866,5.39942,3.44177,32.0579,124,13.93,100
2,1.53866,5.39942,3.44177,32.0701,125,14.68,100
2,1.62214,5.4,3.44579,32.0701,126,14.68,100
2,1.62214,5.4,3.44579,32.1034,127,15.41,100
2,1.70563,5.40144,3.44972,32.1034,128,15.42,100
2,1.70563,5.40144,3.44972,32.1697,129,16.15,100
2,1.78909,5.39972,3.45339,32.1697,130,16.17,100
2,1.78909,5.39972,3.45339,32.1887,131,16.90,100
2,1.87253,5.39951,3.45683,32.2349,132,16.90,100
2,1.95592,5.40035,3.45998,32.2349,133,17.64,100
2,1.95592,5.40035,3.45998,32.2632,134,18.35,100
2,2.03934,5.3997,3.46293,32.2701,135,18.36,100
2,2.12287,5.39931,3.46567,32.2701,136,19.07,100
2,2.12287,5.39931,3.46567,32.3264,137,19.82,100
2,2.20629,5.40029,3.46827,32.3627,138,19.83,100
2,2.28983,5.4004,3.4708,32.3655,139,20.59,100
2,2.37322,5.39923,3.473,32.4117,140,21.35,100
2,2.45659,5.3989,3.4751,32.4117,141,22.11,100
2,2.45659,5.3989,3.4751,32.4389,142,22.85,100
2,2.54004,5.39853,3.47722,32.4761,143,22.86,100
2,2.62346,5.40066,3.47922,32.5285,144,23.61,100
2,2.70689,5.39915,3.48113,32.5396,145,24.36,100
2,2.79034,5.39949,3.48307,32.6283,146,25.11,100
2,2.87382,5.40061,3.48488,32.6845,147,25.87,100
2,2.95722,5.39923,3.48676,32.7086,148,26.62,100
2,3.04062,5.40027,3.48836,32.7286,149,27.36,100
2,3.12402,5.39884,3.49003,32.773,150,28.10,100
2,3.20751,5.3996,3.49168,32.7848,151,28.84,100
2,3.29097,5.3992,3.49333,32.8017,152,29.58,100
2,3.37447,5.40028,3.4948,32.8789,153,30.32,100
2,3.45791,5.39892,3.49665,32.8901,154,31.06,100
2,3.54127,5.4003,3.49812,32.9556,155,31.80,100
2,3.62477,5.40024,3.49961,32.9241,156,32.55,100
2,3.70815,5.39975,3.50111,32.9905,157,33.27,100
2,3.79162,5.40059,3.50272,32.9682,158,34.02,100
2,3.87514,5.40037,3.5041,33.0447,159,34.75,100
2,3.95855,5.40041,3.50573,33.0185,160,35.49,100
2,4.04199,5.40038,3.50717,33.1351,161,36.22,100
2,4.1255,5.40001,3.50874,33.0416,162,36.97,100
2,4.20898,5.40267,3.51017,33.1399,163,37.68,100
2,4.29248,5.39951,3.51177,33.2082,164,38.44,100
2,4.37596,5.40009,3.513,33.2101,165,39.18,100
2,4.45949,5.39926,3.51456,33.2101,166,39.91,100
2,4.45949,5.39926,3.51456,33.201,167,40.64,100
2,4.54285,5.40007,3.51624,33.2966,168,40.64,100
2,4.6262,5.39989,3.51771,33.2966,169,41.39,100
2,4.6262,5.39989,3.51771,33.2762,170,42.12,100
2,4.70955,5.40117,3.51911,33.2762,171,42.12,100
2,4.70955,5.40117,3.51911,33.3014,172,42.85,100
2,4.79298,5.39875,3.52064,33.3014,173,42.85,100
2,4.79298,5.39875,3.52064,33.3042,174,43.58,100
2,4.87633,5.39925,3.52223,33.3854,175,43.58,100
2,4.9598,5.40013,3.52359,33.4226,176,44.33,100
2,5.04331,5.3995,3.52516,33.4226,177,45.07,100
2,5.04331,5.3995,3.52516,33.4285,178,45.80,100
2,5.12673,5.4009,3.52679,33.5449,179,45.80,100
2,5.21015,5.40016,3.5283,33.5449,180,46.56,100
2,5.21015,5.40016,3.5283,33.4573,181,47.29,100
2,5.29353,5.39679,3.52993,33.5354,182,47.27,100
2,5.37703,5.39926,3.53169,33.5968,183,48.02,100
2,5.46038,5.39975,3.53321,33.5413,184,48.77,100
