cycles,time,current,voltage,temp,index,soc
2,0,0,2.02269,31.7843,1,0
2,0.002435,0.216279,2.03363,31.7843,2,0
2,0.00282833,0.434057,2.04862,31.7843,3,0
2,0.00324,0.595783,2.06325,31.7843,4,0
2,0.00344833,0.704158,2.07457,31.7843,5,0
2,0.00363,0.81183,2.08707,31.7843,6,0
2,0.00384333,0.920705,2.10068,31.7843,7,1.31
2,0.00405667,1.02738,2.11507,31.7843,8,1.02
2,0.00425333,1.13652,2.13058,31.7843,9,0.74
2,0.00447,1.24356,2.14659,31.7843,10,0.46
2,0.00471167,1.35172,2.16357,31.7843,11,0.26
2,0.00492333,1.45946,2.18095,31.7843,12,0.07
2,0.00512,1.56758,2.19895,31.7843,13,-0.13
2,0.00532833,1.67682,2.21755,31.7843,14,-0.32
2,0.00553833,1.78279,2.23628,31.7843,15,-0.36
2,0.00571833,1.89176,2.25561,31.7843,16,-0.39
2,0.00593167,1.99973,2.27532,31.7843,17,-0.41
2,0.006145,2.10787,2.29497,31.7843,18,-0.44
2,0.00635833,2.21492,2.31483,31.7843,19,-0.46
2,0.00655833,2.26944,2.32487,31.7843,20,-0.45
2,0.00673833,2.37843,2.34503,31.7843,21,-0.44
2,0.00695167,2.48721,2.36513,31.7843,22,-0.43
2,0.007165,2.5932,2.38537,31.7843,23,-0.43
2,0.00737833,2.70182,2.40546,31.7843,24,-0.43
2,0.00757333,2.81012,2.42546,31.7843,25,-0.43
2,0.00778333,2.91855,2.44538,31.7843,26,-0.44
2,0.00799,3.02585,2.46498,31.7843,27,-0.44
2,0.00820167,3.13411,2.48409,31.7843,28,-0.45
2,0.00840333,3.2434,2.50292,31.7843,29,-0.45
2,0.00861167,3.35241,2.5209,31.7843,30,-0.46
2,0.00882,3.45931,2.53838,31.7843,31,-0.47
2,0.00900167,3.56689,2.55477,31.7843,32,-0.49
2,0.00921667,3.67599,2.57015,31.7843,33,-0.55
2,0.00962167,3.83659,2.59164,31.7843,34,-0.62
2,0.00983833,3.94538,2.60472,31.7843,35,-0.72
2,0.0100483,4.05359,2.61707,31.7843,36,-0.79
2,0.01023,4.16183,2.62836,31.7843,37,-0.86
2,0.0104417,4.27079,2.63907,31.7843,38,-0.94
2,0.0108517,4.48656,2.65851,31.7843,39,-1.02
2,0.0112417,4.70178,2.67565,31.7843,40,-1.05
2,0.01168,4.91809,2.69116,31.7843,41,-0.98
2,0.0120917,5.08086,2.70193,31.7843,42,-0.90
2,0.012485,5.29738,2.71537,31.7843,43,-0.84
2,0.013065,5.35112,2.72611,31.7843,44,-0.77
2,0.01424,5.35165,2.73668,31.7409,45,-0.74
2,0.0160033,5.35085,2.74744,31.7409,46,-0.72
2,0.0180133,5.35115,2.75774,31.7409,47,-0.69
2,0.01999,5.40438,2.76804,31.7409,48,-0.67
2,0.0225417,5.4044,2.77889,31.7409,49,-0.62
2,0.0252683,5.40461,2.78957,31.7409,50,-0.59
2,0.02821,5.40469,2.80025,31.7409,51,-0.55
2,0.0310917,5.40499,2.81061,31.7409,52,-0.52
2,0.03423,5.40575,2.8209,31.7409,53,-0.48
2,0.0375383,5.40481,2.83143,31.7409,54,-0.44
2,0.0410517,5.40544,2.84212,31.7409,55,-0.40
2,0.0445733,5.40516,2.85227,31.7409,56,-0.36
2,0.0482683,5.40385,2.86262,31.7409,57,-0.31
2,0.052215,5.40508,2.87297,31.7409,58,-0.27
2,0.056325,5.4039,2.88303,31.7409,59,-0.22
2,0.0605917,5.40351,2.89336,31.7409,60,-0.17
2,0.06507,5.40363,2.90371,31.7409,61,-0.12
2,0.0650717,5.40363,2.90371,31.7289,62,-0.07
2,0.0697633,5.40336,2.91401,31.7289,63,-0.07
2,0.0746133,5.40315,2.92407,31.7289,64,-0.02
2,0.079715,5.40317,2.93417,31.7289,65,0.03
2,0.084995,5.40402,2.94448,31.7289,66,0.09
2,0.0905567,5.40308,2.95464,31.7289,67,0.15
2,0.09631,5.40328,2.96473,31.7289,68,0.21
2,0.102295,5.404,2.97502,31.7289,69,0.28
2,0.108622,5.40415,2.98526,31.7502,70,0.34
2,0.115188,5.40253,2.99564,31.7502,71,0.41
2,0.121953,5.40215,3.00567,31.7502,72,0.49
2,0.128912,5.40362,3.01607,31.7502,73,0.56
2,0.136312,5.40216,3.02609,31.7502,74,0.63
2,0.14389,5.40223,3.03636,31.7502,75,0.71
2,0.151817,5.40306,3.04651,31.7502,76,0.79
2,0.159978,5.40268,3.05662,31.6613,77,0.88
2,0.168327,5.4012,3.06672,31.6613,78,0.95
2,0.177307,5.40113,3.07674,31.6613,79,1.04
2,0.186418,5.40163,3.08691,31.6613,80,1.13
2,0.195955,5.4019,3.09705,31.6613,81,1.23
2,0.205913,5.40009,3.10715,31.6613,82,1.33
2,0.205915,5.40009,3.10715,31.6585,83,1.43
2,0.216283,5.39994,3.11716,31.6585,84,1.43
2,0.2268,5.40063,3.12723,31.6585,85,1.54
2,0.238197,5.40009,3.13732,31.6585,86,1.65
2,0.249702,5.40005,3.14734,31.6585,87,1.76
2,0.261845,5.40107,3.15741,31.6869,88,1.88
2,0.274595,5.39931,3.16751,31.6869,89,2.01
2,0.287718,5.40092,3.1776,31.6869,90,2.14
2,0.301245,5.39979,3.18762,31.6453,91,2.27
2,0.315347,5.40017,3.1977,31.6453,92,2.40
2,0.330222,5.399,3.20775,31.6453,93,2.54
2,0.34596,5.39943,3.2179,31.6545,94,2.69
2,0.361868,5.40055,3.22798,31.6545,95,2.85
2,0.378983,5.39954,3.23801,31.6545,96,3.01
2,0.396488,5.39921,3.2481,31.6406,97,3.18
2,0.414953,5.39983,3.25823,31.6406,98,3.35
2,0.43424,5.40064,3.2683,31.6406,99,3.54
2,0.45461,5.40028,3.27837,31.6467,100,3.73
2,0.475412,5.40037,3.2885,31.6467,101,3.93
2,0.497348,5.39958,3.29852,31.6406,102,4.14
2,0.52054,5.4002,3.30857,31.6406,103,4.35
2,0.544745,5.40039,3.3186,31.6406,104,4.58
2,0.544747,5.40039,3.3186,31.6104,105,4.82
2,0.57029,5.39987,3.32872,31.6104,106,4.81
2,0.597723,5.39967,3.33883,31.6073,107,5.06
2,0.626985,5.39961,3.34892,31.6073,108,5.33
2,0.658345,5.40071,3.35895,31.5629,109,5.62
2,0.695005,5.40045,3.36897,31.5629,110,5.92
2,0.695007,5.40045,3.36897,31.6467,111,6.27
2,0.738493,5.40014,3.37908,31.5789,112,6.28
2,0.792073,5.39967,3.38928,31.5819,113,6.69
2,0.862517,5.40041,3.39932,31.6113,114,7.21
2,0.94593,5.39953,3.40849,31.6113,115,7.88
2,0.945932,5.39953,3.40849,31.6294,116,8.68
2,1.02945,5.40039,3.41592,31.6566,117,8.68
2,1.11293,5.39998,3.4222,31.6566,118,9.48
2,1.11294,5.39998,3.4222,31.696,119,10.27
2,1.19642,5.4011,3.42767,31.7322,120,10.27
2,1.27985,5.40094,3.43281,31.7219,121,11.07
2,1.36325,5.40061,3.43746,31.8101,122,11.86
2,1.44662,5.40004,3.44208,31.8967,123,12.66
2,1.53002,5.40035,3.44629,31.8915,124,13.46
2,1.61355,5.39938,3.45039,31.8915,125,14.25
2,1.61355,5.39938,3.45039,31.9215,126,15.04
2,1.697,5.39978,3.45442,31.9215,127,15.04
2,1.697,5.39978,3.45442,31.9708,128,15.83
2,1.78042,5.40051,3.4581,31.9708,129,15.84
2,1.78043,5.40051,3.4581,32.037,130,16.63
2,1.86386,5.39964,3.46145,32.1115,131,16.64
2,1.94727,5.4015,3.46472,32.1115,132,17.44
2,1.94727,5.4015,3.46472,32.0883,133,18.23
2,2.03069,5.39994,3.46774,32.0883,134,18.22
2,2.03069,5.39994,3.46774,32.1043,135,19.01
2,2.11406,5.39984,3.47054,32.1043,136,19.01
2,2.11407,5.39984,3.47054,32.1927,137,19.80
2,2.19742,5.39958,3.47316,32.236,138,19.81
2,2.28075,5.40018,3.4755,32.236,139,20.61
2,2.28075,5.40018,3.4755,32.2822,140,21.39
2,2.36411,5.39986,3.47792,32.2822,141,21.40
2,2.36411,5.39986,3.47792,32.2991,142,22.19
2,2.44763,5.39877,3.47998,32.2991,143,22.19
2,2.44763,5.39877,3.47998,32.3638,144,22.98
2,2.53101,5.39992,3.48214,32.3638,145,22.99
2,2.53101,5.39992,3.48214,32.4261,146,23.77
2,2.61441,5.39912,3.4841,32.4261,147,23.78
2,2.61441,5.39912,3.4841,32.4402,148,24.57
2,2.69781,5.39953,3.48608,32.4402,149,24.57
2,2.69782,5.39953,3.48608,32.5346,150,25.36
2,2.78119,5.39967,3.48789,32.5881,151,25.37
2,2.86467,5.39989,3.48973,32.6363,152,26.17
2,2.94816,5.40056,3.49147,32.6363,153,26.96
2,2.94817,5.40056,3.49147,32.6602,154,27.75
2,3.03156,5.40082,3.49323,32.6602,155,27.76
2,3.03156,5.40082,3.49323,32.7148,156,28.55
2,3.11492,5.39996,3.49488,32.7174,157,28.56
2,3.19829,5.40027,3.49641,32.7174,158,29.35
2,3.19829,5.40027,3.49641,32.7829,159,30.06
2,3.2817,5.39923,3.49824,32.8394,160,30.09
2,3.3652,5.3997,3.49975,32.8956,161,30.62
2,3.44868,5.39984,3.50135,32.9096,162,31.14
2,3.53207,5.39868,3.50283,32.9096,163,31.65
2,3.53208,5.39868,3.50283,32.9578,164,32.33
2,3.61554,5.39959,3.50438,32.9578,165,32.32
2,3.61555,5.39959,3.50438,32.9869,166,33.07
2,3.69893,5.40031,3.50586,33.0351,167,33.06
2,3.78236,5.39962,3.50747,33.0166,168,33.80
